lemma;dict_pos;pos;by_hands_tags;frequency;R;D;Doc
мещанка;s;NOUN;NOUN;0,8;38;82;53
мещанство;s;NOUN;NOUN;2,0;56;86;106
мзда;s;NOUN;NOUN;1,5;63;88;114
мздоимец;s;NOUN;NOUN;0,5;26;80;36
мздоимство;s;NOUN;NOUN;0,7;34;79;51
миазмы;s;NOUN;NOUN;0,5;30;81;39
миг;s;NOUN;NOUN;55,9;100;91;1318
мигалка;s;NOUN;NOUN;2,8;70;87;154
мигание;s;NOUN;NOUN;0,5;29;80;31
мигрант;s;NOUN;NOUN;8,0;56;80;165
миграция;s;NOUN;NOUN;13,1;66;76;417
мигрень;s;NOUN;NOUN;1,8;63;85;102
мидия;s;NOUN;NOUN;1,3;38;75;50
мизансцена;s;NOUN;NOUN;4,8;71;87;187
мизантроп;s;NOUN;NOUN;0,9;33;75;49
мизер;s;NOUN;NOUN;0,8;41;85;59
мизинец;s;NOUN;NOUN;5,0;84;89;281
мизинчик;s;NOUN;NOUN;0,5;19;72;27
микроавтобус;s;NOUN;NOUN;2,7;65;88;143
микроб;s;NOUN;NOUN;4,7;91;86;216
микробиолог;s;NOUN;NOUN;0,8;30;77;49
микробиология;s;NOUN;NOUN;1,8;32;70;118
микроволновка;s;NOUN;NOUN;0,6;33;79;45
микроклимат;s;NOUN;NOUN;1,3;47;83;95
микрокосм;s;NOUN;NOUN;0,7;31;67;37
микрометр;s;NOUN;NOUN;0,6;17;66;27
микромир;s;NOUN;NOUN;1,9;43;62;66
микрон;s;NOUN;NOUN;1,0;40;80;61
микроорганизм;s;NOUN;NOUN;3,8;58;80;191
микропроцессор;s;NOUN;NOUN;0,8;34;82;54
микрорайон;s;NOUN;NOUN;6,1;82;91;353
микроскоп;s;NOUN;NOUN;6,0;93;87;278
микроскопия;s;NOUN;NOUN;1,7;14;69;83
микроструктура;s;NOUN;NOUN;1,1;16;68;56
микросхема;s;NOUN;NOUN;1,5;47;79;82
микротрещина;s;NOUN;NOUN;0,4;14;71;20
микроуровень;s;NOUN;NOUN;0,7;29;77;43
микрофлора;s;NOUN;NOUN;1,4;34;69;65
микрофон;s;NOUN;NOUN;16,3;94;93;617
микрочастица;s;NOUN;NOUN;1,0;23;47;31
